product_id,current_price,predicted_demand,recommended_price
5,10.88,24.677784,9.3
5,10.88,14.510642,9.3
5,10.88,14.511831,9.3
5,10.88,14.998559,9.3
5,10.88,15.314481,9.3
5,10.34,22.590164,8.84
5,10.88,22.309055,9.3
5,10.34,18.80163,8.84
5,10.88,17.633127,9.3
5,10.88,16.949669,9.3
5,10.88,16.263256,9.3
5,10.88,16.662155,9.3
5,10.34,16.764277,9.28
5,10.88,22.05828,9.3
5,10.88,16.508526,9.3
5,10.88,16.681908,9.3
5,10.88,17.863174,9.3
5,10.88,16.516266,9.3
5,10.88,10.199403,9.77
5,10.88,20.59087,9.3
5,10.88,23.033136,9.3
5,10.88,17.253891,9.3
5,10.88,16.350805,9.3
5,10.88,16.50777,9.77
5,10.88,16.662155,9.3
5,10.88,15.06563,9.3
5,9.25,26.600931,7.91
5,10.88,22.143108,9.3
5,10.88,15.986491,9.3
5,10.88,17.805265,9.3
5,10.88,16.96969,9.3
5,10.88,16.390581,9.3
5,10.88,16.19393,9.3
5,10.88,15.997397,9.77
5,10.88,22.715607,9.3
5,10.34,16.642223,8.84
5,10.88,16.568027,9.3
5,10.88,16.03753,9.3
5,10.88,16.083967,9.3
5,10.88,15.847839,9.3
5,10.88,21.726559,9.3
5,10.88,22.23507,9.3
5,10.88,16.214226,9.3
5,10.88,16.30502,9.3
5,10.88,17.243162,9.3
5,10.88,15.773197,9.3
5,10.88,16.590933,9.3
5,10.88,21.819702,9.3
5,10.88,22.812342,9.3
5,10.34,16.762224,8.84
5,10.88,16.219015,9.3
5,10.88,16.818775,9.3
5,10.88,0.21177101,9.77
5,10.88,16.10456,9.3
5,10.88,22.347872,9.3
5,10.88,21.76044,9.3
5,10.88,16.642368,9.3
5,10.88,16.345097,9.3
5,10.88,15.989658,9.3
5,10.88,1.198492,9.77
5,10.88,16.178305,9.3
5,10.88,21.820671,9.3
5,10.88,21.617016,9.3
5,10.88,15.917529,9.3
5,10.88,16.126919,9.3
